deploymentID,locationID,locationName,latitude,longitude,coordinateUncertainty,deploymentStart,deploymentEnd,setupBy,cameraID,cameraModel,cameraDelay,cameraHeight,cameraTilt,cameraHeading,detectionDistance,timestampIssues,baitUse,featureType,habitat,deploymentGroups,deploymentTags,deploymentComments
19.05,19,Ningaloo Marine Park,-21.99757511,113.8291331,50,2019-08-12T14:59:00Z,2019-08-12T14:59:00Z,,,Canon Legria HFG25,,,,,,,true,,Cover of benthos and score of complexity,,,
19.08,19,Ningaloo Marine Park,-21.99412613,113.8234315,50,2019-08-12T15:03:00Z,2019-08-12T15:03:00Z,,,Canon Legria HFG25,,,,,,,true,,Cover of benthos and score of complexity,,,
23.01,23,Ningaloo Marine Park,-21.68647769,114.0835652,50,2019-08-12T13:22:00Z,2019-08-12T13:22:00Z,,,Canon Legria HFG25,,,,,,,true,,Cover of benthos and score of complexity,,,
23.02,23,Ningaloo Marine Park,-21.68555797,114.0785763,50,2019-08-12T13:28:00Z,2019-08-12T13:28:00Z,,,Canon Legria HFG25,,,,,,,true,,Cover of benthos and score of complexity,,,
23.03,23,Ningaloo Marine Park,-21.68233893,114.0811896,50,2019-08-12T13:31:00Z,2019-08-12T13:31:00Z,,,Canon Legria HFG25,,,,,,,true,,Cover of benthos and score of complexity,,,
23.04,23,Ningaloo Marine Park,-21.67980968,114.0845155,50,2019-08-12T13:35:00Z,2019-08-12T13:35:00Z,,,Canon Legria HFG25,,,,,,,true,,Cover of benthos and score of complexity,,,
23.06,23,Ningaloo Marine Park,-21.67475118,114.0944932,50,2019-08-12T13:46:00Z,2019-08-12T13:46:00Z,,,Canon Legria HFG25,,,,,,,true,,Cover of benthos and score of complexity,,,
23.09,23,Ningaloo Marine Park,-21.706867,114.0747,50,2019-08-12T13:13:00Z,2019-08-12T13:13:00Z,,,Canon Legria HFG25,,,,,,,true,,Cover of benthos and score of complexity,,,
30.01,30,Ningaloo Marine Park,-21.91122,113.90413,50,2019-08-12T10:04:00Z,2019-08-12T10:04:00Z,,,Canon Legria HFG25,,,,,,,true,,Cover of benthos and score of complexity,,,
30.02,30,Ningaloo Marine Park,-21.90687,113.90722,50,2019-08-12T10:08:00Z,2019-08-12T10:08:00Z,,,Canon Legria HFG25,,,,,,,true,,Cover of benthos and score of complexity,,,
30.03,30,Ningaloo Marine Park,-21.89999,113.91082,50,2019-08-12T10:13:00Z,2019-08-12T10:13:00Z,,,Canon Legria HFG25,,,,,,,true,,Cover of benthos and score of complexity,,,
